Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
ModelEntity,Customer,[Population],Run,Content,NumberInSystem,Average,3.595944125
ModelEntity,Customer,[Population],Run,Content,NumberInSystem,Maximum,23
ModelEntity,Customer,[Population],Run,Content,NumberInSystem,Minimum,0
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Average,0.030161173
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Maximum,0.164991846
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Minimum,0.00000675
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Observations,2861
ModelEntity,Customer,[Population],Run,Throughput,NumberCreated,Total,2862
ModelEntity,Customer,[Population],Run,Throughput,NumberDestroyed,Total,2861
Server,PizzaTakeOutStore,InputBuffer,Run,Content,NumberInStation,Average,2.797231896
Server,PizzaTakeOutStore,InputBuffer,Run,Content,NumberInStation,Maximum,22
Server,PizzaTakeOutStore,InputBuffer,Run,Content,NumberInStation,Minimum,0
Server,PizzaTakeOutStore,InputBuffer,Run,HoldingTime,TimeInStation,Average,0.023456871
Server,PizzaTakeOutStore,InputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.155345622
Server,PizzaTakeOutStore,InputBuffer,Run,HoldingTime,TimeInStation,Minimum,0
Server,PizzaTakeOutStore,InputBuffer,Run,Throughput,NumberEntered,Total,2862
Server,PizzaTakeOutStore,InputBuffer,Run,Throughput,NumberExited,Total,2862
Server,PizzaTakeOutStore,Processing,Run,Content,NumberInStation,Average,0.79871223
Server,PizzaTakeOutStore,Processing,Run,Content,NumberInStation,Maximum,1
Server,PizzaTakeOutStore,Processing,Run,Content,NumberInStation,Minimum,0
Server,PizzaTakeOutStore,Processing,Run,HoldingTime,TimeInStation,Average,0.006696103
Server,PizzaTakeOutStore,Processing,Run,Throughput,NumberEntered,Total,2862
Server,PizzaTakeOutStore,Processing,Run,Throughput,NumberExited,Total,2861
Server,PizzaTakeOutStore,[Resource],Run,Capacity,ScheduledUtilization,Percent,79.87122297
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsScheduled,Average,1
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeProcessing,Total,19.16909351
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeStarved,Total,4.830906486
Sink,exit,InputBuffer,Run,Throughput,NumberEntered,Total,2861
Sink,exit,[DestroyedEntities],Run,FlowTime,TimeInSystem,Average,0.030161173
Sink,exit,[DestroyedEntities],Run,FlowTime,TimeInSystem,Observations,2861
Source,Entrance,OutputBuffer,Run,Throughput,NumberEntered,Total,2862
Source,Entrance,OutputBuffer,Run,Throughput,NumberExited,Total,2862
