Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
ModelEntity,Customer,[Population],Run,Content,NumberInSystem,Average,3.94039236961868
ModelEntity,Customer,[Population],Run,Content,NumberInSystem,Maximum,36
ModelEntity,Customer,[Population],Run,Content,NumberInSystem,Minimum,0
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Average,0.0327717772746245
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Maximum,0.249953236678493
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Minimum,3.02242710858991E-07
ModelEntity,Customer,[Population],Run,FlowTime,TimeInSystem,Observations,259709
ModelEntity,Customer,[Population],Run,Throughput,NumberCreated,Total,259713
ModelEntity,Customer,[Population],Run,Throughput,NumberDestroyed,Total,259709
Server,PizzaTakeOutStore,InputBuffer,Run,Content,NumberInStation,Average,3.14050515979569
Server,PizzaTakeOutStore,InputBuffer,Run,Content,NumberInStation,Maximum,35
Server,PizzaTakeOutStore,InputBuffer,Run,Content,NumberInStation,Minimum,0
Server,PizzaTakeOutStore,InputBuffer,Run,HoldingTime,TimeInStation,Average,0.0261191856394683
Server,PizzaTakeOutStore,InputBuffer,Run,HoldingTime,TimeInStation,Maximum,0.243789759403057
Server,PizzaTakeOutStore,InputBuffer,Run,HoldingTime,TimeInStation,Minimum,0
Server,PizzaTakeOutStore,InputBuffer,Run,Throughput,NumberEntered,Total,259713
Server,PizzaTakeOutStore,InputBuffer,Run,Throughput,NumberExited,Total,259710
Server,PizzaTakeOutStore,OutputBuffer,Run,Throughput,NumberEntered,Total,259709
Server,PizzaTakeOutStore,OutputBuffer,Run,Throughput,NumberExited,Total,259709
Server,PizzaTakeOutStore,Processing,Run,Content,NumberInStation,Average,0.799887209822927
Server,PizzaTakeOutStore,Processing,Run,Content,NumberInStation,Maximum,1
Server,PizzaTakeOutStore,Processing,Run,Content,NumberInStation,Minimum,0
Server,PizzaTakeOutStore,Processing,Run,HoldingTime,TimeInStation,Average,0.00665263381682362
Server,PizzaTakeOutStore,Processing,Run,HoldingTime,TimeInStation,Maximum,0.0896786536857235
Server,PizzaTakeOutStore,Processing,Run,HoldingTime,TimeInStation,Minimum,5.87670001550578E-09
Server,PizzaTakeOutStore,Processing,Run,Throughput,NumberEntered,Total,259710
Server,PizzaTakeOutStore,Processing,Run,Throughput,NumberExited,Total,259709
Server,PizzaTakeOutStore,[Resource],Run,Capacity,ScheduledUtilization,Percent,79.9887209822927
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsAllocated,Total,259710
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsScheduled,Average,1
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsScheduled,Maximum,1
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsScheduled,Minimum,1
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsUtilized,Average,0.799887209822927
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsUtilized,Maximum,1
Server,PizzaTakeOutStore,[Resource],Run,Capacity,UnitsUtilized,Minimum,0
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeProcessing,Average,0.0331317859403529
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeProcessing,Occurrences,52148
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeProcessing,Percent,79.9887209822927
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeProcessing,Total,1727.75637321752
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeStarved,Average,0.00828894522757738
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeStarved,Occurrences,52147
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeStarved,Percent,20.0112790177073
Server,PizzaTakeOutStore,[Resource],Run,ResourceState,TimeStarved,Total,432.243626782478
Sink,exit,InputBuffer,Run,Throughput,NumberEntered,Total,259709
Sink,exit,InputBuffer,Run,Throughput,NumberExited,Total,259709
Sink,exit,[DestroyedEntities],Run,FlowTime,TimeInSystem,Average,0.0327717772746245
Sink,exit,[DestroyedEntities],Run,FlowTime,TimeInSystem,Maximum,0.249953236678493
Sink,exit,[DestroyedEntities],Run,FlowTime,TimeInSystem,Minimum,3.02242710858991E-07
Sink,exit,[DestroyedEntities],Run,FlowTime,TimeInSystem,Observations,259709
Source,Entrance,OutputBuffer,Run,Throughput,NumberEntered,Total,259713
Source,Entrance,OutputBuffer,Run,Throughput,NumberExited,Total,259713
Source,Entrance,Processing,Run,Throughput,NumberEntered,Total,259713
Source,Entrance,Processing,Run,Throughput,NumberExited,Total,259713
